ObjectId,Date,Value
16924,D07/17/2008,18.48
16948,D07/17/2008,16.33
16974,D07/27/2008,10.98
16997,D07/27/2008,11.23
17020,D08/04/2008,3.88
17049,D08/06/2008,4.33
17074,D08/16/2008,14.03
17094,D08/21/2008,41.58
17116,D08/26/2008,7.58
17138,D08/26/2008,11.43
17168,D09/05/2008,16.38
17187,D09/05/2008,16.23
17223,D09/15/2008,29.78
17239,D09/15/2008,29.83
17275,D09/25/2008,30.78
17290,D09/25/2008,28.93
17341,D10/05/2008,33.58
17348,D10/05/2008,29.93
17392,D10/15/2008,30.88
17399,D10/15/2008,30.63
17408,D10/24/2008,38.38
17428,D10/24/2008,36.53
17458,D11/03/2008,45.68
17481,D11/03/2008,42.73
17508,D11/13/2008,53.58
17529,D11/13/2008,50.13
17558,D11/23/2008,50.38
17581,D11/23/2008,47.83
17608,D12/03/2008,31.68
17630,D12/03/2008,27.43
17661,D12/13/2008,24.58
17685,D12/13/2008,24.63
17712,D12/23/2008,27.08
17735,D12/23/2008,24.23
17762,D01/02/2009,19.08
17784,D01/02/2009,16.23
17813,D01/12/2009,6.58
17834,D01/12/2009,5.63
17865,D01/22/2009,11.98
17886,D01/22/2009,16.33
17905,D01/27/2009,13.68
17922,D02/01/2009,18.13
17951,D02/11/2009,19.13
17968,D02/16/2009,16.38
18004,D02/21/2009,19.43
18014,D02/25/2009,20.48
18040,D03/02/2009,22.93
18065,D03/07/2009,22.28
18089,D03/12/2009,23.83
18114,D03/17/2009,25.68
18139,D03/22/2009,19.93
18164,D03/27/2009,13.78
18189,D04/01/2009,8.53
18214,D04/06/2009,6.48
18239,D04/11/2009,12.83
18265,D04/16/2009,17.68
18291,D04/21/2009,16.93
18317,D04/26/2009,13.98
18341,D05/01/2009,14.53
18369,D05/06/2009,20.58
18395,D05/11/2009,26.83
18420,D05/16/2009,25.68
18446,D05/21/2009,21.83
18471,D05/26/2009,19.48
18503,D05/31/2009,11.63
18529,D06/05/2009,17.88
18555,D06/10/2009,20.93
18579,D06/15/2009,22.58
18589,D06/19/2009,17.33
18614,D06/24/2009,17.28
18639,D06/29/2009,15.73
18664,D07/04/2009,23.98
18689,D07/09/2009,21.43
18714,D07/14/2009,26.28
18740,D07/19/2009,25.53
18766,D07/24/2009,24.88
18790,D07/29/2009,9.73
18817,D08/03/2009,13.88
18841,D08/08/2009,19.43
18866,D08/13/2009,23.18
18894,D08/18/2009,32.03
18918,D08/23/2009,27.08
18944,D08/28/2009,28.73
18970,D09/02/2009,26.48
18993,D09/07/2009,25.33
19014,D09/11/2009,32.28
19048,D09/17/2009,35.33
19064,D09/26/2009,42.28
19101,D09/27/2009,30.73
19127,D10/02/2009,34.28
19150,D10/07/2009,42.33
19159,D10/11/2009,47.58
19185,D10/16/2009,49.83
19209,D10/21/2009,50.78
19234,D10/26/2009,54.73
19258,D10/31/2009,54.78
19284,D11/05/2009,46.03
19311,D11/10/2009,36.58
19335,D11/15/2009,33.73
19360,D11/20/2009,39.18
19387,D11/25/2009,42.03
19411,D11/30/2009,37.88
19438,D12/05/2009,39.63
19464,D12/10/2009,41.48
19489,D12/15/2009,37.73
19517,D12/20/2009,35.58
19542,D12/25/2009,36.63
19566,D12/30/2009,35.98
19593,D01/04/2010,29.23
19624,D01/09/2010,24.28
19652,D01/14/2010,17.63
19677,D01/19/2010,19.18
19683,D01/23/2010,23.63
19710,D01/28/2010,16.78
19734,D02/02/2010,13.63
19759,D02/07/2010,10.08
19786,D02/12/2010,18.33
19809,D02/17/2010,24.38
19834,D02/22/2010,18.23
19860,D02/27/2010,20.48
19885,D03/04/2010,18.63
19911,D03/09/2010,14.78
19937,D03/14/2010,11.83
19962,D03/19/2010,16.68
19987,D03/24/2010,18.43
20014,D03/29/2010,18.08
20039,D04/03/2010,11.43
20058,D04/07/2010,9.08
20089,D04/13/2010,15.03
20116,D04/18/2010,15.18
20144,D04/23/2010,9.93
20173,D04/28/2010,18.38
20201,D05/03/2010,16.53
20225,D05/08/2010,20.28
20234,D05/12/2010,12.63
20259,D05/17/2010,12.78
20283,D05/22/2010,12.93
20310,D05/27/2010,15.78
20335,D06/01/2010,22.73
20367,D06/06/2010,25.28
20385,D06/11/2010,33.33
20409,D06/16/2010,35.18
20434,D06/21/2010,30.13
20461,D06/26/2010,25.88
20488,D07/01/2010,28.03
20511,D07/06/2010,30.18
20538,D07/11/2010,29.23
20561,D07/16/2010,26.28
20588,D07/21/2010,19.43
20626,D07/26/2010,15.48
20641,D07/31/2010,15.43
20666,D08/05/2010,21.48
20693,D08/10/2010,26.93
20722,D08/15/2010,33.18
20749,D08/20/2010,30.63
20758,D08/24/2010,35.98
20802,D08/30/2010,41.63
20809,D09/03/2010,47.68
20834,D09/08/2010,51.03
20859,D09/13/2010,52.18
20884,D09/18/2010,53.03
20909,D09/23/2010,52.98
20935,D09/28/2010,45.13
20960,D10/03/2010,40.18
20985,D10/08/2010,40.23
21011,D10/13/2010,53.98
21035,D10/18/2010,52.63
21065,D10/23/2010,52.68
21087,D10/28/2010,35.33
21114,D11/02/2010,27.88
21137,D11/07/2010,21.13
21167,D11/12/2010,33.18
21191,D11/17/2010,37.43
21217,D11/22/2010,32.48
21243,D11/27/2010,32.03
21275,D12/02/2010,30.28
21302,D12/07/2010,31.23
21309,D12/11/2010,32.68
21351,D12/17/2010,33.33
21359,D12/21/2010,29.38
21384,D12/26/2010,28.33
21409,D12/31/2010,25.68
21434,D01/05/2011,27.53
21460,D01/10/2011,27.68
21486,D01/15/2011,35.43
21509,D01/20/2011,21.58
21535,D01/25/2011,18.13
21561,D01/30/2011,15.28
21587,D02/04/2011,17.93
21612,D02/09/2011,18.28
21637,D02/14/2011,24.83
21663,D02/19/2011,29.18
21688,D02/24/2011,28.43
21715,D03/01/2011,25.58
21738,D03/06/2011,23.83
21768,D03/11/2011,16.78
21793,D03/16/2011,12.63
21823,D03/21/2011,8.88
21851,D03/26/2011,11.33
21859,D03/30/2011,14.98
21883,D04/04/2011,15.63
21911,D04/09/2011,20.68
21934,D04/14/2011,16.53
21959,D04/19/2011,8.08
21985,D04/24/2011,15.13
22009,D04/29/2011,21.28
22034,D05/04/2011,18.23
22060,D05/09/2011,19.78
22084,D05/14/2011,18.93
22111,D05/19/2011,7.68
22136,D05/24/2011,4.43
22162,D05/29/2011,4.68
22188,D06/03/2011,9.63
22212,D06/08/2011,16.88
22238,D06/13/2011,21.33
22265,D06/18/2011,24.28
22290,D06/23/2011,34.33
22316,D06/28/2011,37.98
22348,D07/03/2011,30.13
22372,D07/08/2011,20.18
22401,D07/13/2011,25.63
22426,D07/18/2011,26.08
22434,D07/22/2011,28.23
22459,D07/27/2011,18.78
22484,D08/01/2011,16.93
22509,D08/06/2011,13.98
22535,D08/11/2011,19.63
22560,D08/16/2011,26.88
22585,D08/21/2011,34.73
22609,D08/26/2011,35.58
22637,D08/31/2011,26.33
22660,D09/05/2011,23.78
22686,D09/10/2011,25.03
22712,D09/15/2011,29.68
22740,D09/20/2011,31.73
22768,D09/25/2011,26.38
22789,D09/30/2011,24.73
22818,D10/05/2011,35.98
